Date,rf
2017-08-25,3.9288987001890734e-05
2017-08-28,3.9681883060016855e-05
2017-08-29,3.987831650233171e-05
2017-08-30,3.9406860840698226e-05
2017-08-31,3.862097300790521e-05
2017-09-01,3.8896052039349916e-05
2017-09-05,3.8817458972290286e-05
2017-09-06,4.097816505793425e-05
2017-09-07,4.0388998886630406e-05
2017-09-08,4.0271154218278326e-05
2017-09-11,4.0271154218278326e-05
2017-09-12,4.0192590722719435e-05
2017-09-13,4.0192590722719435e-05
2017-09-14,4.058539732982845e-05
2017-09-15,3.987831650233171e-05
2017-09-18,3.948543989352414e-05
2017-09-19,4.0192590722719435e-05
2017-09-20,4.0271154218278326e-05
2017-09-21,3.9799745228909395e-05
2017-09-22,3.96033078970853e-05
2017-09-25,3.9406860840698226e-05
2017-09-26,4.1174534344765886e-05
2017-09-27,4.097816505793425e-05
2017-09-28,4.0663953049063645e-05
2017-09-29,4.058539732982845e-05
2017-10-02,3.9996172837133245e-05
2017-10-03,4.086033788492633e-05
2017-10-04,4.1174534344765886e-05
2017-10-05,4.1174534344765886e-05
2017-10-06,4.1174534344765886e-05
2017-10-09,4.125307840240153e-05
2017-10-10,4.1645780053954534e-05
2017-10-11,4.2156235045176235e-05
2017-10-12,4.156724376879527e-05
2017-10-13,4.1449434085937526e-05
2017-10-16,4.1645780053954534e-05
2017-10-17,4.2352546045237825e-05
2017-10-18,4.2156235045176235e-05
2017-10-19,4.203844752795513e-05
2017-10-20,4.243107147027331e-05
2017-10-23,4.2234764354951365e-05
2017-10-24,4.33339600774416e-05
2017-10-25,4.2745138913028356e-05
2017-10-26,4.262736887488181e-05
2017-10-27,4.2352546045237825e-05
2017-10-30,4.243107147027331e-05
2017-10-31,4.43151267719417e-05
2017-11-01,4.490371036300137e-05
2017-11-02,4.490371036300137e-05
2017-11-03,4.529605092901214e-05
2017-11-06,4.568835270821555e-05
2017-11-07,4.686502540165197e-05
2017-11-08,4.713953590636695e-05
2017-11-09,4.745323093343936e-05
2017-11-10,4.733560054149509e-05
2017-11-13,4.674737289693629e-05
2017-11-14,4.890376898028292e-05
2017-11-15,4.8511784964231355e-05
2017-11-16,4.8511784964231355e-05
2017-11-17,4.890376898028292e-05
2017-11-20,4.890376898028292e-05
2017-11-21,5.039295614745722e-05
2017-11-22,4.988355965312687e-05
2017-11-24,4.890376898028292e-05
2017-11-27,4.8237374047347674e-05
2017-11-28,4.988355965312687e-05
2017-11-29,4.960924358347476e-05
2017-11-30,4.882537620916094e-05
2017-12-01,4.87077818122784e-05
2017-12-04,4.9099746469201026e-05
2017-12-05,5.05888601065038e-05
2017-12-06,4.980518623555016e-05
2017-12-07,4.9687620870996e-05
2017-12-08,4.941329125575381e-05
2017-12-11,4.980518623555016e-05
2017-12-12,5.164657346305165e-05
2017-12-13,5.019704251658614e-05
2017-12-14,5.05888601065038e-05
2017-12-15,5.0667218048123226e-05
2017-12-18,5.184242021420204e-05
2017-12-19,5.333050519345215e-05
2017-12-20,5.3213044226827286e-05
2017-12-21,5.203825263123216e-05
2017-12-22,5.1176513962244955e-05
2017-12-26,5.137237924354121e-05
2017-12-27,5.548332319517552e-05
2017-12-28,5.399604544942928e-05
2017-12-29,5.3408809017226963e-05
2018-01-02,5.43092036171414e-05
2018-01-03,5.399604544942928e-05
2018-01-04,5.399604544942928e-05
2018-01-05,5.399604544942928e-05
2018-01-08,5.4387488131259107e-05
2018-01-09,5.5757233517905935e-05
2018-01-10,5.497457976359103e-05
2018-01-11,5.528766072199402e-05
2018-01-12,5.5561584550271996e-05
2018-01-16,5.497457976359103e-05
2018-01-17,5.5757233517905935e-05
2018-01-18,5.536592593597578e-05
2018-01-19,5.528766072199402e-05
2018-01-22,5.4778892203599436e-05
2018-01-23,5.567897602131422e-05
2018-01-24,5.5561584550271996e-05
2018-01-25,5.489630683069698e-05
2018-01-26,5.4700615410678257e-05
2018-01-29,5.4191771617006445e-05
2018-01-30,5.614850251699153e-05
2018-01-31,5.634412255034514e-05
2018-02-01,5.724385145100231e-05
2018-02-02,5.7126510927596125e-05
2018-02-05,5.7439417496544704e-05
2018-02-06,5.8612616075936055e-05
2018-02-07,5.966819319522611e-05
2018-02-08,5.966819319522611e-05
2018-02-09,6.005907678346353e-05
2018-02-12,6.0449921872418345e-05
2018-02-13,6.181758126877619e-05
2018-02-14,6.103611733628305e-05
2018-02-15,6.14268662102024e-05
2018-02-16,6.181758126877619e-05
2018-02-20,6.193478316212011e-05
2018-02-21,6.330193098464838e-05
2018-02-22,6.318476480768682e-05
2018-02-23,6.318476480768682e-05
2018-02-26,6.330193098464838e-05
2018-02-27,6.435626162301834e-05
2018-02-28,6.369245682146618e-05
2018-03-01,6.259888668223846e-05
2018-03-02,6.318476480768682e-05
2018-03-05,6.396580111064801e-05
2018-03-06,6.466860330384992e-05
2018-03-07,6.494188036395136e-05
2018-03-08,6.435626162301834e-05
2018-03-09,6.435626162301834e-05
2018-03-12,6.466860330384992e-05
2018-03-13,6.650311260972123e-05
2018-03-14,6.759560750076485e-05
2018-03-15,6.818074842253677e-05
2018-03-16,6.837577622419704e-05
2018-03-19,6.798571103537287e-05
2018-03-20,6.91557915946426e-05
2018-03-21,6.728349612884817e-05
2018-03-22,6.622993839547974e-05
2018-03-23,6.642506209482493e-05
2018-03-26,6.708841463618292e-05
2018-03-27,6.818074842253677e-05
2018-03-28,6.66982228775626e-05
2018-03-29,6.572257093997616e-05
2018-04-02,6.622993839547974e-05
2018-04-03,6.740054135143571e-05
2018-04-04,6.564450972407241e-05
2018-04-05,6.591771958815534e-05
2018-04-06,6.611285863989175e-05
2018-04-09,6.591771958815534e-05
2018-04-10,6.66982228775626e-05
2018-04-11,6.662017620018083e-05
2018-04-12,6.708841463618292e-05
2018-04-13,6.759560750076485e-05
2018-04-16,6.740054135143571e-05
2018-04-17,6.903879813317099e-05
2018-04-18,6.962372630290175e-05
2018-04-19,7.013059524688461e-05
2018-04-20,6.942875982611491e-05
2018-04-23,7.013059524688461e-05
2018-04-24,7.168978318277071e-05
2018-04-25,7.137799831901233e-05
2018-04-26,7.020856826581657e-05
2018-04-27,6.962372630290175e-05
2018-04-30,6.935077148291414e-05
2018-05-01,7.118311336897293e-05
